,seed,recommender,annotated,skipped,budget
0,0,Random,0,52,100
1,0,Random,0,152,300
2,0,Random,1,249,500
3,0,Random,9,352,700
4,0,Random,20,447,900
5,0,Random,27,551,1100
6,0,Random,39,653,1300
7,0,Random,49,769,1500
8,0,Random,64,864,1700
9,0,Random,76,966,1900
10,0,LinGreedy,0,9,100
11,0,LinGreedy,4,24,300
12,0,LinGreedy,18,46,500
13,0,LinGreedy,44,68,700
14,0,LinGreedy,79,89,900
15,0,LinGreedy,117,103,1100
16,0,LinGreedy,155,118,1300
17,0,LinGreedy,189,138,1500
18,0,LinGreedy,239,159,1700
19,0,LinGreedy,281,187,1900
20,0,LinUCB,2,4,100
21,0,LinUCB,8,9,300
22,0,LinUCB,28,13,500
23,0,LinUCB,59,18,700
24,0,LinUCB,59,18,700
25,0,LinUCB,59,18,700
26,0,LinUCB,98,24,900
27,0,LinUCB,140,36,1100
28,0,LinUCB,177,44,1300
29,0,LinUCB,226,53,1500
30,0,LinUCB,278,63,1700
31,0,LinUCB,278,63,1700
32,0,LinUCB,329,81,1900
33,0,TS,0,0,100
34,0,TS,11,2,300
35,0,TS,36,6,500
36,0,TS,70,11,700
37,0,TS,115,13,900
38,0,TS,115,13,900
39,0,TS,156,14,1100
40,0,TS,219,19,1300
41,0,TS,219,19,1300
42,0,TS,219,19,1300
43,0,TS,276,32,1500
44,0,TS,337,67,1700
45,0,TS,337,67,1700
46,0,TS,337,67,1700
47,0,TS,337,67,1700
48,0,TS,337,67,1700
49,0,TS,337,67,1700
50,0,TS,337,67,1700
51,0,TS,337,67,1700
52,0,TS,337,67,1700
53,0,TS,337,67,1700
54,0,TS,337,67,1700
55,0,TS,337,67,1700
56,0,TS,356,216,1900
57,0,LinTS,0,4,100
58,0,LinTS,11,9,300
59,0,LinTS,28,14,500
60,0,LinTS,60,19,700
61,0,LinTS,101,27,900
62,0,LinTS,146,43,1100
63,0,LinTS,175,55,1300
64,0,LinTS,219,62,1500
65,0,LinTS,269,72,1700
66,0,LinTS,269,72,1700
67,0,LinTS,269,72,1700
68,0,LinTS,335,88,1900
69,0,ClustersTS(L=2),1,2,100
70,0,ClustersTS(L=2),16,8,300
71,0,ClustersTS(L=2),38,12,500
72,0,ClustersTS(L=2),78,17,700
73,0,ClustersTS(L=2),104,19,900
74,0,ClustersTS(L=2),145,23,1100
75,0,ClustersTS(L=2),204,30,1300
76,0,ClustersTS(L=2),204,30,1300
77,0,ClustersTS(L=2),270,39,1500
78,0,ClustersTS(L=2),270,39,1500
79,0,ClustersTS(L=2),270,39,1500
80,0,ClustersTS(L=2),270,39,1500
81,0,ClustersTS(L=2),270,39,1500
82,0,ClustersTS(L=2),332,72,1700
83,0,ClustersTS(L=2),332,72,1700
84,0,ClustersTS(L=2),332,72,1700
85,0,ClustersTS(L=2),332,72,1700
86,0,ClustersTS(L=2),332,72,1700
87,0,ClustersTS(L=2),332,72,1700
88,0,ClustersTS(L=2),332,72,1700
89,0,ClustersTS(L=2),332,72,1700
90,0,ClustersTS(L=2),332,72,1700
91,0,ClustersTS(L=2),332,72,1700
92,0,ClustersTS(L=2),332,72,1700
93,0,ClustersTS(L=2),332,72,1700
94,0,ClustersTS(L=2),332,72,1700
95,0,ClustersTS(L=2),332,72,1700
96,0,ClustersTS(L=2),332,72,1700
97,0,ClustersTS(L=2),332,72,1700
98,0,ClustersTS(L=2),332,72,1700
99,0,ClustersTS(L=2),332,72,1700
100,0,ClustersTS(L=2),332,72,1700
101,0,ClustersTS(L=2),332,72,1700
102,0,ClustersTS(L=2),332,72,1700
103,0,ClustersTS(L=2),332,72,1700
104,0,ClustersTS(L=2),332,72,1700
105,0,ClustersTS(L=2),332,72,1700
106,0,ClustersTS(L=2),332,72,1700
107,0,ClustersTS(L=2),332,72,1700
108,0,ClustersTS(L=2),332,72,1700
109,0,ClustersTS(L=2),332,72,1700
110,0,ClustersTS(L=2),332,72,1700
111,0,ClustersTS(L=2),332,72,1700
112,0,ClustersTS(L=2),332,72,1700
113,0,ClustersTS(L=2),332,72,1700
114,0,ClustersTS(L=2),332,72,1700
115,0,ClustersTS(L=2),332,72,1700
116,0,ClustersTS(L=2),332,72,1700
117,0,ClustersTS(L=2),332,72,1700
118,0,ClustersTS(L=2),332,72,1700
119,0,ClustersTS(L=2),332,72,1700
120,0,ClustersTS(L=2),332,72,1700
121,0,ClustersTS(L=2),332,72,1700
122,0,ClustersTS(L=2),332,72,1700
123,0,ClustersTS(L=2),332,72,1700
124,0,ClustersTS(L=2),332,72,1700
125,0,ClustersTS(L=2),332,72,1700
126,0,ClustersTS(L=2),332,72,1700
127,0,ClustersTS(L=2),332,72,1700
128,0,ClustersTS(L=2),332,72,1700
129,0,ClustersTS(L=2),332,72,1700
